Id,orderDate,brand,sneakerName,price,releaseDate,size,buyerRegion
1,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,"$1,097",9/24/16,11,California
2,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,$685,11/23/16,11,California
3,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Green,$690,11/23/16,11,California
4,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,"$1,075",11/23/16,11.5,Kentucky
5,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$828,2/11/17,11,Rhode Island
6,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$798,2/11/17,8.5,Michigan
7,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$784,12/17/16,11,California
8,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$460,4/29/17,10,New York
9,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$465,4/29/17,11,Kansas
10,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$465,4/29/17,11,Florida
11,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$515,4/29/17,11.5,New Jersey
12,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$473,4/29/17,10,Texas
13,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$460,4/29/17,9,Florida
14,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$570,2/25/17,14,Michigan
15,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$525,2/25/17,8,New York
16,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$658,2/25/17,11,California
17,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$650,2/25/17,11,North Carolina
18,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$610,2/25/17,10,New Jersey
19,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$589,2/25/17,9,New York
20,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$850,2/25/17,5.5,Michigan
21,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$546,2/25/17,9,Florida
22,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$586,2/25/17,9.5,Oregon
23,9/1/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$640,2/25/17,14,California
24,9/2/17,Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$850,9/24/16,8,Alabama
25,9/2/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,$999,11/23/16,11,Kentucky
26,9/2/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$740,2/11/17,9,New York
27,9/2/17,Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$765,2/11/17,8,New York
